Date,HomeTeam,AwayTeam,FTR,elo_diff,venue_elo_diff,elo_gap,season_pts_diff,home_quality_form,away_quality_form,home_avg_goal_diff,away_avg_goal_diff,home_avg_goals_conceded,away_avg_goals_conceded,real_xg_diff,xga_diff,sot_diff,home_venue_form,away_venue_form,home_venue_conceded,away_venue_conceded,h2h_home_win_rate,h2h_draw_rate,rest_diff,streak_diff,home_draw_rate_w10,away_draw_rate_w10,combined_clean_sheet,combined_low_scoring_run,combined_avg_scored,month_sin,month_cos,us_forecast_w,us_forecast_d,us_forecast_l,b365_prob_h,b365_prob_d,b365_prob_a,b365_draw_indicator,odds_move_h,odds_move_d,odds_move_a
2018-09-01,Crystal Palace,Southampton,A,10.270737784831681,-4.0,10.270737784831681,2,3.0,1.0,-0.3333333333333333,-0.6666666666666666,1.3333333333333333,1.3333333333333333,-0.22377533333333333,0.0,0.666666666666667,0,0,2.0,2.0,0.5,0.27,-1,0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.6666666666666665,-1.0,-1.8369701987210297e-16,0.228,0.2078,0.5642,0.48837209302325585,0.27906976744186046,0.23255813953488372,0.012069767441860446,,,
2018-09-01,Leicester,Liverpool,A,-19.449760583612942,4.0,19.449760583612942,-3,5.98,9.021150022555691,0.6666666666666666,2.3333333333333335,1.0,0.0,-2.1670840000000005,0.0,-3.6666666666666665,3,3,0.0,0.0,0.5,0.27,0,-1,0.0,0.0,1.3333333333333333,1.0,4.0,-1.0,-1.8369701987210297e-16,0.2629,0.3246,0.4125,0.12972972972972974,0.19459459459459463,0.6756756756756758,-0.07240540540540538,,,
2018-09-01,Man City,Newcastle,H,37.72696620708825,12.0,37.72696620708825,6,6.97314150421112,0.9933333333333333,2.3333333333333335,-0.6666666666666666,0.6666666666666666,1.3333333333333333,1.9088019999999997,0.0,6.0,3,1,1.0,0.0,0.5,0.27,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,3.6666666666666665,-1.0,-1.8369701987210297e-16,0.8343,0.1322,0.0335,0.8744305500351607,0.08823799186718441,0.037331458097654945,-0.17876200813281562,,,
2018-09-01,West Ham,Wolves,A,-19.990367411696752,-4.0,19.990367411696752,-2,0.0,2.0129499924814365,-2.3333333333333335,-0.6666666666666666,3.0,1.6666666666666667,-0.18734833333333334,0.0,1.0,0,0,2.0,2.0,0.5,0.27,0,-3,0.0,0.6666666666666666,0.0,0.6666666666666666,1.6666666666666665,-1.0,-1.8369701987210297e-16,0.2413,0.3045,0.4542,0.3744435917114351,0.28633921719109745,0.33921719109746734,0.019339217191097435,,,
2018-09-02,Burnley,Man United,A,-9.991738425113908,-4.0,9.991738425113908,-2,1.0,3.0,-1.3333333333333333,-1.0,2.3333333333333335,2.3333333333333335,-0.37098933333333317,0.0,-1.0000000000000004,0,0,3.0,3.0,0.5,0.27,1,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2.333333333333333,-1.0,-1.8369701987210297e-16,0.0644,0.1378,0.7978,0.16314779270633398,0.2610364683301344,0.5758157389635318,-0.005963531669865629,,,
2018-09-02,Cardiff,Arsenal,A,-0.8462177367066488,8.0,0.8462177367066488,-1,1.9803833408518967,2.9611500225556906,-0.6666666666666666,-0.3333333333333333,0.6666666666666666,2.0,-0.32090566666666653,0.0,-4.333333333333333,1,0,0.0,3.0,0.5,0.27,0,-1,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,-1.0,-1.8369701987210297e-16,0.1947,0.2698,0.5355,0.15057333531200648,0.2260338751796864,0.623392789508307,-0.040966124820313615,,,
2018-09-02,Watford,Tottenham,H,0.29552253150063734,7.769751663554189,0.29552253150063734,0,9.0,8.978849977444309,1.6666666666666667,2.0,0.6666666666666666,0.6666666666666666,-1.056476666666667,0.0,-1.666666666666667,6,6,0.5,0.5,0.5,0.27,1,0,0.0,0.0,0.6666666666666666,0.3333333333333333,5.0,-1.0,-1.8369701987210297e-16,0.2195,0.4474,0.3331,0.1765791632485644,0.2312346185397867,0.5921862182116489,-0.035765381460213325,,,
2018-09-15,Newcastle,Arsenal,A,-28.62413354409705,-23.494160726070277,28.62413354409705,-5,0.9933333333333333,5.9406076096379685,-0.75,0.0,1.5,2.0,-0.7014425,0.0,-4.5,0,3,2.0,2.5,0.5,0.27,1,-4,0.25,0.0,0.25,0.5,2.75,-1.0,-1.8369701987210297e-16,0.159,0.3722,0.4688,0.23170731707317074,0.25609756097560976,0.5121951219512195,-0.010902439024390254,,,
2018-09-15,Tottenham,Liverpool,A,-20.023777392773354,-4.092099334578279,20.023777392773354,-3,8.978849977444309,12.041133472810253,1.25,2.0,1.0,0.25,-0.4921622499999998,0.0,-0.75,3,6,1.0,0.5,0.5,0.27,-1,-5,0.0,0.0,1.0,0.5,4.5,-1.0,-1.8369701987210297e-16,0.0318,0.0857,0.8825,0.3243243243243243,0.27027027027027023,0.4054054054054054,0.0032702702702702147,,,
2018-09-15,Man City,Fulham,H,36.627720237613175,31.125690391346552,36.627720237613175,6,9.934831304495528,3.9746645044112734,2.0,-0.5,0.75,2.25,1.3531459999999995,0.0,2.5,6,1,1.0,2.5,0.5,0.27,0,1,0.25,0.25,0.25,0.75,4.5,-1.0,-1.8369701987210297e-16,0.9962,0.0033,0.0005,0.8657432072456047,0.09696323921150773,0.037293553542887596,-0.17003676078849228,,,
