,team,elo,from,to,league
183,Man United,1937.28759766,2021-09-12,2021-09-14,ENG-Premier League
184,Arsenal,1835.09191895,2021-09-12,2021-09-14,ENG-Premier League
185,Tottenham,1834.34777832,2021-09-12,2021-09-14,ENG-Premier League
186,West Ham,1825.17199707,2021-09-12,2021-09-14,ENG-Premier League
187,Leicester,1797.09716797,2021-09-12,2021-09-13,ENG-Premier League
188,Everton,1790.84277344,2021-08-29,2021-09-13,ENG-Premier League
189,Leeds,1773.81274414,2021-09-12,2021-09-12,ENG-Premier League
190,Aston Villa,1739.88439941,2021-09-12,2021-09-12,ENG-Premier League
191,Brighton,1735.97753906,2021-09-12,2021-09-12,ENG-Premier League
192,Wolves,1733.93359375,2021-09-12,2021-09-12,ENG-Premier League
193,Crystal Palace,1712.7253418,2021-09-12,2021-09-14,ENG-Premier League
194,Southampton,1702.39782715,2021-09-12,2021-09-12,ENG-Premier League
195,Newcastle,1700.92944336,2021-09-12,2021-09-12,ENG-Premier League
196,Burnley,1699.07641602,2021-09-12,2021-09-12,ENG-Premier League
197,Brentford,1684.66491699,2021-09-12,2021-09-12,ENG-Premier League
198,Watford,1659.7565918,2021-09-12,2021-09-13,ENG-Premier League
199,Norwich,1639.88183594,2021-09-12,2021-09-12,ENG-Premier League
200,Man City,2016.2989502,2021-09-12,2021-09-14,ENG-Premier League
201,Liverpool,1955.40649414,2021-09-13,2021-09-14,ENG-Premier League
202,Chelsea,1944.11047363,2021-09-13,2021-09-14,ENG-Premier League
203,Man United,1937.28759766,2021-09-12,2021-09-14,ENG-Premier League
204,Arsenal,1835.09191895,2021-09-12,2021-09-14,ENG-Premier League
205,Tottenham,1834.34777832,2021-09-12,2021-09-14,ENG-Premier League
206,West Ham,1825.17199707,2021-09-12,2021-09-14,ENG-Premier League
207,Leicester,1797.09716797,2021-09-12,2021-09-13,ENG-Premier League
208,Everton,1790.84277344,2021-08-29,2021-09-13,ENG-Premier League
209,Leeds,1766.05407715,2021-09-13,2021-09-14,ENG-Premier League
210,Aston Villa,1739.88439941,2021-09-13,2021-09-14,ENG-Premier League
